gene_nomenclature_authority_identifier,gene_symbol
FBgn0033485,RpLP0-like
FBgn0033762,CG8632
FBgn0033846,mip120
FBgn0033902,Tango7
FBgn0034084,CG8435
FBgn0267002,unc-104
FBgn0034231,APC10
FBgn0034240,MESR4
FBgn0034277,OstDelta
FBgn0034528,CG11180
FBgn0034722,Rtf1
FBgn0034938,CG3803
FBgn0035357,MEP-1
FBgn0035437,CG11526
FBgn0035590,CG10673
FBgn0035692,CG13298
FBgn0035713,velo
FBgn0035725,Mis12
FBgn0035854,CG8005
FBgn0035872,CG7185
FBgn0036124,CG7839
FBgn0036187,CG11660
FBgn0036239,Pop2
FBgn0036273,CG10426
FBgn0036277,CG10418
FBgn0036491,Best4
FBgn0036754,CG5589
FBgn0036876,CG9451
FBgn0036892,Lon
FBgn0036915,Prp3
FBgn0037025,Spc105R
FBgn0037081,barc
FBgn0037093,Cdk12
FBgn0037137,Nopp140
FBgn0037218,aux
FBgn0037446,Zif
FBgn0037489,CG1234
FBgn0037550,CG9667
FBgn0037573,eIF4AIII
FBgn0037614,CG8116
FBgn0037621,CG9797
FBgn0037707,RnpS1
FBgn0037924,CG14712
FBgn0038016,MBD-R2
FBgn0038132,CG15887
FBgn0266917,CG16941
FBgn0038467,CG3590
FBgn0038473,ns1
FBgn0038475,Keap1
FBgn0038578,MED17
FBgn0038608,WRNexo
FBgn0038805,TFAM
FBgn0039016,Dcr-1
FBgn0039120,Nup98-96
FBgn0039274,CG11920
FBgn0039488,CG6066
FBgn0039680,CAP-D2
FBgn0040022,Set1
FBgn0040066,wds
FBgn0040235,c12.1
FBgn0040273,Spt5
FBgn0040366,CG11398
FBgn0040512,zetaCOP
FBgn0040534,CG11985
FBgn0266666,CG13779
FBgn0041164,armi
FBgn0041781,SCAR
FBgn0287187,mRpS5
FBgn0050020,CG30020
FBgn0050382,CG30382
FBgn0052113,CG32113
FBgn0052183,Ccn
FBgn0284253,CG33123
FBgn0053526,PNUTS
FBgn0053554,Nipped-A
FBgn0053556,form3
FBgn0082582,tmod
FBgn0082831,pps
FBgn0085339,CG34310
FBgn0085436,Not1
FBgn0086134,Prosalpha2
FBgn0086356,tum
FBgn0086443,Aats-asn
FBgn0266916,Cenp-C
FBgn0086706,pix
FBgn0283657,tlk
FBgn0266557,kis
FBgn0086908,egg
FBgn0250791,Snap
FBgn0250911,CG42245
FBgn0259203,CG42307
FBgn0259785,pzg
FBgn0259824,Hip14
FBgn0259937,Nop60B
FBgn0260399,gwl
FBgn0260439,Pp2A-29B
FBgn0260789,mxc
FBgn0260859,Bet3
FBgn0260934,par-1
FBgn0260936,scny
FBgn0260972,alc
FBgn0286784,TER94
FBgn0261119,Prp19
FBgn0261396,Rpn3
FBgn0261437,CSN8
FBgn0261617,nej
FBgn0265297,pAbp
FBgn0261790,SmE
FBgn0261792,snRNP-U1-C
FBgn0261797,Dhc64C
FBgn0261854,aPKC
FBgn0267350,PI4KIIIalpha
FBgn0261938,mtRNApol
FBgn0261953,TfAP-2
FBgn0261954,east
FBgn0262519,Mi-2
FBgn0283442,vas
FBgn0262601,SmB
FBgn0262647,Nup160
FBgn0262656,dm
FBgn0262743,Fs(2)Ket
FBgn0263102,psq
FBgn0263121,Prosalpha1
FBgn0263237,Cdk7
FBgn0263391,hts
FBgn0263599,l(3)72Ab
FBgn0263740,eIF-2gamma
FBgn0263755,Su(var)3-9
FBgn0263855,BubR1
FBgn0263933,ebi
FBgn0263979,Caf1
FBgn0264270,Sxl
FBgn0264492,CkIIalpha
FBgn0264495,gpp
FBgn0264922,smt3
FBgn0264978,Slh
FBgn0004581,bgcn
FBgn0002962,nos
