,gene_description,gene_nomenclature_authority_identifier,gene_symbol_x,gene_synonyms_0,gene_synonyms_1,query_0,gene_symbol_y
124,"ATP synthase, subunit B",FBgn0019644,ATPsynB,ATP syn-b,ATP-syn-B,NP_524011.1,ATPsyn-b
125,Cyclin-dependent kinase 9,FBgn0019949,Cdk9,cdk9,CDK9,NP_477226.2,Cdk9
126,"ATP synthase, gamma subunit",FBgn0020235,ATPsyngamma,ATP-syn-gamma,ATPG,NP_733305.1,ATPsyn-gamma
127,domino,FBgn0020306,dom,27/4,anon-WO0172774.190,NP_726065.1,dom
128,embargoed,FBgn0020497,emb,CG13387,crm1,NP_723391.2,emb
129,Minichromosome maintenance 7,FBgn0020633,Mcm7,anon-EST:Liang-1.66,CG4978,NP_523984.1,Mcm7
130,Ribosomal protein L3,FBgn0020910,RpL3,anon-EST:GressD4,CG4863,NP_731548.2,RpL3
131,chromosome bows,FBgn0021760,chb,0686/07,anon-WO0104295,NP_730597.1,chb
132,Nucleoporin 154kD,FBgn0021761,Nup154,BcDNA:LD21772,CG4579,NP_477288.3,Nup154
133,Target of rapamycin,FBgn0021796,Tor,5092,CG5092,NP_524891.1,Tor
134,Zinc finger protein RP-8,FBgn0021875,Zfrp8,137/5,CG3260,NP_611890.1,Zfrp8
135,Rs1,FBgn0021995,Rs1,153844_at,BcDNA:GM05306,NP_651970.1,Rs1
136,Chromosome segregation 1,FBgn0022213,Cse1,BcDNA:LD14270,cas,NP_523588.2,Cas
137,cap binding protein 20,FBgn0022943,Cbp20,cbp20,CBP20,NP_524396.1,Cbp20
138,Small ribonucleoprotein particle protein SmD3,FBgn0023167,SmD3,CG8427,dD3,NP_725106.1,SmD3
139,Proteasome alpha7 subunit,FBgn0023175,Prosalpha7,1519,alpha-7,NP_724834.1,Prosalpha7
140,Origin recognition complex subunit 4,FBgn0023181,Orc4,CG2917,Dmel\CG2917,NP_477320.1,Orc4
141,supernumerary limbs,FBgn0283468,slmb,BcDNA:GM02031,beta-TrCP,NP_001262802.1,slmb
142,Myb-interacting protein 130,FBgn0023509,mip130,86E4.4,CG3480,NP_569958.2,mip130
143,,FBgn0024177,,,,,zpg
144,aurora B,FBgn0024227,aurB,ABK,Aur,NP_477336.1,ial
145,,FBgn0024248,,,,,chico
146,WASp,FBgn0024273,WASp,CG1520,D-WASP,NP_733257.1,WASp
147,Minichromosome maintenance 3,FBgn0284442,Mcm3,CG4206,dMcm3,NP_511048.2,Mcm3
148,mitochondrial translation elongation factor Tu 1,FBgn0024556,mEFTu1,CG6050,Dmel\CG6050,NP_524752.1,EfTuM
149,Ribosomal protein L10,FBgn0024733,RpL10,anon-EST:Posey179,BcDNA:LD24589,NP_730773.4,RpL10
150,Cyclin T,FBgn0025455,CycT,anon-74EFc,CG6292,NP_524127.2,CycT
151,Bub3,FBgn0025457,Bub3,bub3,BUB3,NP_477381.1,Bub3
152,SKP1-related A,FBgn0025637,SkpA,anon-WO03040301.234,anon-WO03040301.236,NP_726695.1,skpA
153,Cyclin K,FBgn0025674,CycK,CG15218,Dmel\CG15218,NP_788083.1,CycK
154,Coat Protein (coatomer) beta',FBgn0025724,beta'COP,beta'-COP,beta'Cop,NP_524836.2,beta'Cop
155,Minichromosome maintenance 6,FBgn0025815,Mcm6,CG4039,dMcm6,NP_511065.1,Mcm6
156,Integrator 8,FBgn0025830,IntS8,CG5859,Dmel\CG5859,NP_611162.2,IntS8
157,Flap endonuclease 1,FBgn0025832,Fen1,CG8648,Dmel\CG8648,NP_523765.1,Fen1
158,Ubiquitin like 3,FBgn0026076,UBL3,CG9038,Dmel\CG9038,NP_996453.1,UBL3
159,nop5,FBgn0026196,nop5,2/30,CG10206,NP_477412.1,nop5
160,meiotic P26,FBgn0026206,mei-P26,AF145661,BcDNA:GH10646,NP_001285039.1,mei-P26
161,eukaryotic translation initiation factor 1A,FBgn0026250,eIF1A,anon-EST:Liang-2.3,anon-EST:Posey4,NP_996231.1,eIF-1A
162,moleskin,FBgn0026252,msk,61,CG7935,NP_524780.1,msk
163,RNA polymerase II 33kD subunit,FBgn0026373,RpII33,152117_at,BG:DS00941.10,NP_477419.1,RpII33
164,Nipped-B,FBgn0026401,Nipped-B,CG17704,CG40281,NP_001036452.1,Nipped-B
165,Su(var)2-HP2,FBgn0026427,Su(var)2-HP2,CG12864,Dmel\CG12864,NP_610972.2,Su(var)2-HP2
166,COP9 signalosome subunit 5,FBgn0027053,CSN5,BcDNA.LD14392,BcDNA:LD14392,NP_477442.1,CSN5
167,COP9 signalosome subunit 3,FBgn0027055,CSN3,CG18332,CH3,NP_524190.2,CSN3
168,COP9 signalosome subunit 1b,FBgn0027057,CSN1b,CG3889,CH1-2,NP_524152.2,CSN1b
169,windei,FBgn0027499,wde,BcDNA:LD26050,CG12340,NP_610608.1,wde
170,,FBgn0027537,,,,,Nup93-1
171,uncharacterized protein,FBgn0027587,CG7028,BcDNA:GH04978,Dmel\CG7028,NP_612010.1,CG7028
172,Structural maintenance of chromosomes 2,FBgn0027783,SMC2,AAF58197,CG10212,NP_610995.1,SMC2
173,ballchen,FBgn0027889,ball,Ball,BALL,NP_733171.1,ball
174,Nucleostemin 3,FBgn0266284,Ns3,A60,BACN32G11.5,NP_569915.1,ns3
175,NTF2-related export protein 1,FBgn0028411,Nxt1,CG12752,Dmel\CG12752,NP_611833.1,Nxt1
176,Integrin linked kinase,FBgn0028427,Ilk,CG10504,CT29478,NP_525001.2,Ilk
177,Secretory 71,FBgn0028538,Sec71,BG:DS00797.7,BIG1,NP_609675.2,Sec71
178,half pint,FBgn0028577,hfp,anon-WO0118547.408,CG12085,NP_525123.2,pUf68
179,spt4,FBgn0028683,spt4,142904_at,CG12372,NP_610802.1,spt4
180,Regulatory particle non-ATPase 7,FBgn0028688,Rpn7,141231_at,anon-WO0172774.103,NP_651048.1,Rpn7
181,Regulatory particle non-ATPase 6,FBgn0028689,Rpn6,BcDNA.LD18931,BcDNA:LD18931,NP_725412.2,Rpn6
182,Regulatory particle non-ATPase 9,FBgn0028691,Rpn9,0718/06,718/06,NP_732899.1,Rpn9
183,Regulatory particle non-ATPase 12,FBgn0028693,Rpn12,CG4157,Dmel\CG4157,NP_648904.1,Rpn12
184,Regulatory particle non-ATPase 11,FBgn0028694,Rpn11,37B,CG18174,NP_608905.1,Rpn11
185,Regulatory particle non-ATPase 1,FBgn0028695,Rpn1,BcDNA:LD21723,CG7762,NP_649158.1,Rpn1
186,COP9 signalosome subunit 7,FBgn0028836,CSN7,CG2038,CH7,NP_610379.2,CSN7
187,COP9 signalosome subunit 6,FBgn0028837,CSN6,CG6932,CH6,NP_524451.1,CSN6
188,Coat Protein (coatomer) gamma,FBgn0028968,gammaCOP,0573/02,573.02,NP_001163784.1,gammaCop
189,Coat Protein (coatomer) delta,FBgn0028969,deltaCOP,63B12S,anon-WO03040301.246,NP_652012.1,deltaCOP
190,Spt6,FBgn0028982,Spt6,CG12225,Dmel\CG12225,NP_651962.2,Spt6
191,Ubiquitin-like activating enzyme 2,FBgn0029113,Uba2,CG7528,Dmel\CG7528,NP_524756.2,Uba2
192,Proteasome beta5 subunit,FBgn0029134,Prosbeta5,anon-WO0118547.116,beta-5,NP_724974.1,Prosbeta5
193,Activator of SUMO 1,FBgn0029512,Aos1,Aos,AOS1,NP_650198.1,Aos1
194,uncharacterized protein,FBgn0029672,CG2875,Dmel\CG2875,,NP_570069.1,CG2875
195,raptor,FBgn0029840,raptor,4320,CG4320,NP_572294.2,raptor
196,spidey,FBgn0029975,spidey,CG1444,Dmel\CG1444,NP_572420.1,CG1444
197,"Chromatin assembly factor 1, p180 subunit",FBgn0030054,Caf1-180,CAF-1 p180,Caf-180,NP_572495.1,Caf1-180
198,Chaperonin containing TCP1 subunit 2,FBgn0030086,CCT2,Cct2,CG7033,NP_572524.1,CG7033
199,fascetto,FBgn0030241,feo,CG11207,Dmel\CG11207,NP_572658.2,feo
200,SET domain containing 2,FBgn0030486,Set2,CG1716,dHypb,NP_001162740.1,Set2
201,Ndc80,FBgn0030500,Ndc80,CG9938,Dmel\CG9938,NP_572902.1,Ndc80
202,eukaryotic translation initiation factor 5,FBgn0030719,eIF5,anon-EST:fe3C6,CG9177,NP_996481.1,eIF5
203,uncharacterized protein,FBgn0030787,CG9609,Dmel\CG9609,,NP_573161.1,CG9609
204,uncharacterized protein,FBgn0031119,CG1812,Dmel\CG1812,,NP_608397.1,CG1812
205,Nuclear transport factor-2,FBgn0031145,Ntf-2,BcDNA:GM08921,CG1740,NP_608422.1,Ntf-2
206,Splicing factor 3b subunit 1,FBgn0031266,Sf3b1,anon-21Cd,CG2807,NP_608534.2,CG2807
207,uncharacterized protein,FBgn0031344,CG7420,Dmel\CG7420,,NP_608602.1,CG7420
208,Splicing factor 3b subunit 2,FBgn0031493,Sf3b2,CG3605,Dmel\CG3605,NP_608739.1,CG3605
209,Seryl-tRNA synthetase,FBgn0031497,SerRS,CG17259,Dmel\CG17259,NP_608743.2,CG17259
210,NADH dehydrogenase (ubiquinone) 51 kDa subunit,FBgn0031771,ND-51,CG9140,Dmel\CG9140,NP_608987.1,CG9140
211,,FBgn0031822,,,,,CG9548
212,caper,FBgn0031883,Caper,CAPER,CC1.3,NP_723243.1,CG11266
213,Menin 1,FBgn0031885,Mnn1,CG13778,CG33266,NP_523498.2,Mnn1
214,PDGF- and VEGF-receptor related,FBgn0032006,Pvr,8222,CG8222,NP_001162910.1,Pvr
215,uncharacterized protein,FBgn0032050,CG13096,Dmel\CG13096,,NP_609236.2,CG13096
216,Nfs1 cysteine desulfurase,FBgn0032393,Nfs1,CG12264,CG12264-PA,NP_609533.1,CG12264
217,bicoid stability factor,FBgn0284256,bsf,BSF,CG10302,NP_523596.2,bsf
218,uncharacterized protein,FBgn0032690,CG10333,cg10333,Dmel\CG10333,NP_609888.2,CG10333
219,Nedd8,FBgn0032725,Nedd8,CG10679,Dmel\CG10679,NP_609919.1,Nedd8
220,Transport and Golgi organization 6,FBgn0032728,Tango6,CG18398,Dmel\CG18398,NP_609922.2,Tango6
221,lethal (2) 05287,FBgn0284251,l(2)05287,CG12050,Dmel\CG12050,NP_610086.3,CG12050
222,uncharacterized protein,FBgn0032919,CG9253,anon-EST:GressD10,cg9253,NP_610090.1,CG9253
223,Tif-IA,FBgn0032988,Tif-IA,CG16938,CG3278,NP_788084.1,Tif-IA
224,uncharacterized protein,FBgn0033086,CG9410,Dmel\CG9410,,NP_610221.1,CG9410
225,,FBgn0033185,,,,,CG1603
226,U2A,FBgn0033210,U2A,BcDNA:RE56869,CG1406,NP_610315.1,U2A
227,uncharacterized protein,FBgn0033235,CG8728,Dmel\CG8728,,NP_610333.1,CG8728
228,Nucleoporin at 44A,FBgn0033247,Nup44A,CG8722,Dmel\CG8722,NP_724638.1,Nup44A
229,Fanconi anemia complementation group I,FBgn0033354,FANCI,CG13745,Dmel\CG13745,NP_610429.2,FANCI
230,Ribosomal protein LP0-like,FBgn0033485,RpLP0-like,CG1381,Dmel\CG1381,NP_610554.1,RpLP0-like
231,Zinc transporter 49B,FBgn0033762,ZnT49B,cg8632,CG8632,NP_610806.2,CG8632
232,Myb-interacting protein 120,FBgn0033846,mip120,CG6061,Dmel\CG6061,NP_610879.1,mip120
233,eukaryotic translation initiation factor 3 subunit m,FBgn0033902,eIF3m,anon-EST:Posey67,anon-EST:Posey76,NP_610932.1,Tango7
234,uncharacterized protein,FBgn0034084,CG8435,Dmel\CG8435,,NP_611092.2,CG8435
235,uncoordinated-104,FBgn0267002,unc-104,bris,CG8566,NP_001097346.1,unc-104
236,Anaphase Promoting Complex subunit 10,FBgn0034231,APC10,Apc10,CG11419,NP_611223.4,APC10
237,Misexpression suppressor of ras 4,FBgn0034240,MESR4,CG4903,Dmel\CG4903,NP_523775.2,MESR4
238,Oligosaccharide transferase Delta subunit,FBgn0034277,OstDelta,CG6370,Dmel\CG6370,NP_611265.1,OstDelta
239,uncharacterized protein,FBgn0034528,CG11180,Dmel\CG11180,,NP_001286638.1,CG11180
240,Rtf1,FBgn0034722,Rtf1,CG10955,Dmel\CG10955,NP_611665.1,Rtf1
241,uncharacterized protein,FBgn0034938,CG3803,Dmel\CG3803,,NP_611855.1,CG3803
242,MEP-1,FBgn0035357,MEP-1,anon-EST:Liang-1.37,anon-WO0118547.584,NP_728765.1,MEP-1
243,Striatin interacting protein,FBgn0035437,Strip,CG11526,Dmel\CG11526,NP_728867.1,CG11526
244,p53-related protein kinase,FBgn0035590,Prpk,CG10673,Dm bud32,NP_647948.1,CG10673
245,Splicing factor 3b subunit 6,FBgn0035692,Sf3b6,cg13298,CG13298,NP_648037.1,CG13298
246,veloren,FBgn0035713,velo,CG10107,Dmel\CG10107,NP_788470.1,velo
247,Mis12,FBgn0035725,Mis12,BcDNA:RE19545,CG18156,NP_648066.1,Mis12
248,uncharacterized protein,FBgn0035854,CG8005,Dmel\CG8005,,NP_648188.2,CG8005
249,Cleavage and polyadenylation specific factor 6,FBgn0035872,Cpsf6,CF I[[m]]68,CFI68,NP_001246665.1,CG7185
250,uncharacterized protein,FBgn0036124,CG7839,anon-EST:fe2H6,Dmel\CG7839,NP_648431.3,CG7839
251,RIO kinase 1,FBgn0036187,RIOK1,CG11660,Dmel\CG11660,NP_729730.1,CG11660
252,Pop2,FBgn0036239,Pop2,Caf1,CAF1,NP_001369048.1,Pop2
253,Inositol polyphosphate 5-phosphatase E,FBgn0036273,INPP5E,CG10426,dInpp5e,NP_648566.1,CG10426
254,uncharacterized protein,FBgn0036277,CG10418,BcDNA:GM14851,Dmel\CG10418,NP_648570.1,CG10418
255,,FBgn0036491,,,,,Best4
256,uncharacterized protein,FBgn0036754,CG5589,cg5589,Dmel\CG5589,NP_649009.1,CG5589
257,uncharacterized protein,FBgn0036876,CG9451,Dmel\CG9451,,NP_649118.1,CG9451
258,Lon protease,FBgn0036892,Lon,anon-WO0118547.350,CG8798,NP_649133.1,Lon
259,Precursor RNA processing 3,FBgn0036915,Prp3,CG7757,Dmel\CG7757,NP_649156.1,Prp3
260,Spc105-related,FBgn0037025,Spc105R,CG11451,Dmel\CG11451,NP_649259.1,Spc105R
261,barricade,FBgn0037081,barc,Barc,cg6049,NP_730629.1,barc
262,Cyclin-dependent kinase 12,FBgn0037093,Cdk12,AC017581,anon-WO0140519.165,NP_730643.1,Cdk12
263,Nopp140,FBgn0037137,Nopp140,CG7421,Dmel\CG7421,NP_730693.1,Nopp140
264,auxilin,FBgn0037218,aux,anon-WO0118547.393,Aux,NP_730785.1,aux
265,Zinc-finger protein,FBgn0037446,Zif,anon-WO0118547.391,CC32,NP_649657.1,Zif
266,uncharacterized protein,FBgn0037489,CG1234,Dmel\CG1234,,NP_649710.1,CG1234
267,uncharacterized protein,FBgn0037550,CG9667,Dmel\CG9667,ISY1,NP_649768.2,CG9667
268,uncharacterized protein,FBgn0037573,CG7483,7483,anon-WO0118547.364,NP_649788.2,eIF4AIII
269,Transmembrane protein 216,FBgn0037614,TMEM216,CG8116,Dmel\CG8116,NP_649818.1,CG8116
270,Motif 1 Binding Protein,FBgn0037621,M1BP,CC31,CG9797,NP_649825.1,CG9797
271,RNA-binding protein S1,FBgn0037707,RnpS1,cg16788,CG16788,NP_649903.1,RnpS1
272,uncharacterized protein,FBgn0037924,CG14712,Dmel\CG14712,,NP_650096.1,CG14712
273,MBD-R2,FBgn0038016,MBD-R2,CG10042,CG17393,NP_731688.2,MBD-R2
274,apnoia,FBgn0038132,apn,BcDNA:RE53127,CG15887,NP_650270.1,CG15887
275,Splicing factor 3a subunit 1,FBgn0266917,Sf3a1,CG16941,Dmel\CG16941,NP_650583.1,CG16941
276,Adenylosuccinate Lyase,FBgn0038467,AdSL,CG3590,Dmel\CG3590,NP_650586.2,CG3590
