Gene,anopheles darlingi,anopheles gambiae,culex quinquefasciatus,lucilla cuprina,musca,anopheles darlingi,,,,anopheles gambiae,,,,culex quinquefasciatus,,,,lucilla cuprina,,,,musca,,,,simulans,,,,yakuba,,,,pseudo,,,,ananassae,,,,grimshawi,,,,willistoni,,,,virilis,,,,mojavensis,,,,sechellia,,,,Meip 26,,,,all but E and F,only E and F,all but B and E,all but E,all but c,all but D and E,all but D ,only B and F,only F,all but F,all but C and D,only B and E,all but B and D
egl,x,x,x,x,x,45.86,49.6,0,yes,42.94,38.15,0,yes,51.43,50.3,0,yes,68.84,66.24,25,yes,,,,,98.8,98.61,100,yes,97.42,97.91,100,yes,87.27,88.05,25,no,89.69,90.94,50,yes,84.22,83.47,25,no,85.91,86.25,25,no,85.9,83.76,25,no,84.76,83.67,25,no,92.46,95.32,75,yes,,,,,,CG7028,,CG9667,,,,,,,,,
E(Pc),x,x,x,x,x,,,,,25.72,25.7,50,yes,49.32,3.43,25,no,,,,,,,,,96.94,96.57,100,yes,,,,,64.81,66.76,100,yes,,,,,51.94,56.89,100,yes,,,,,,,,,54.5,56.03,100,yes,96.38,92.66,100,yes,,,,,,lik,,eIF4AIII,,,,,,,,,
e(y)1,x,x,x,,x,52.55,51.8,25,yes,52.99,51.08,25,yes,51.85,50.36,0,yes,,,,,63.08,58.99,25,yes,92.78,92.45,100,yes,89.92,88.85,100,yes,81.82,74.46,100,yes,80.37,78.06,50,yes,82.04,72.3,25,no,74.44,72.3,75,yes,84.08,74.1,25,no,83.27,73.38,25,no,92.75,92.09,100,yes,,,,,,Spc105R,,Keap1,,,,,,,,,
E(z),x,x,x,x,x,,,,,,,,,,,,,80.81,83.14,75,yes,82.15,83.01,50,yes,97.52,97.52,75,yes,96.99,96.99,75,yes,88.46,87.19,75,yes,93.12,92.03,75,yes,87.74,87.97,100,yes,88.27,90.46,100,yes,90.75,88.5,75,yes,90.75,88.5,100,yes,97.74,96.21,100,yes,,,,,,zif,,mRpS5,,,,,,,,,
dup,x,x,x,x,x,40.6,38.36,0,no,38.52,38.63,0,no,44.02,42.13,0,no,58.49,59.35,0,no,58,58.55,0,no ,85.48,84.79,100,yes,94.48,94.48,100,yes,74.79,73.49,75,yes,75.37,74.56,100,yes,68.8,66.49,75,yes,69.9,67.83,75,yes,70.04,67.97,50,yes,71.74,67.29,50,yes,90.05,90.17,100,yes,,,,,,CG9797,,Ccn,,,,,,,,,
Gs1,x,x,x,x,x,70.9,71.43,25,yes,71.64,72.18,25,yes,69.4,69.92,0,yes,86.22,86.22,0,no,85.79,86.22,50,yes,99,99,100,yes,96.49,96.49,100,yes,84.55,93.23,75,yes,93.25,93.48,100,yes,89.25,89.47,100,yes,90.93,90.48,100,yes,90.75,90.98,100,yes,89.75,89.97,50,yes,99.25,99.25,100,yes,,,,,,CG30020,,PNUTS,,,,,,,,,
His2Av,x,x,x,x,x,92.06,82.27,0,yes,95.24,85.11,0,yes,95.24,85.11,0,yes,96.45,96.45,100,yes,95.74,95.74,75,yes,100,100,100,yes,99.29,99.29,100,yes,99.29,99.29,100,yes,100,100,100,yes,99.29,99.29,50,yes,98.58,98.58,100,yes,99.29,99.29,0,no,98.58,98.58,50,yes,100,100,100,yes,,,,,,mxc,,SmE,,,,,,,,,
Hrb98DE,x,x,x,x,x,52.85,53.42,0,yes,53.31,52.88,0,yes,47.44,48.22,0,yes,57.25,61.64,0,no,55.12,57.53,0,no ,92.31,92.05,100,yes,85.83,84.66,100,yes,69.81,70.96,50,yes,72.42,71.23,100,yes,65.45,69.04,50,yes,74.29,78.36,50,yes,70.91,70.14,75,yes,69.86,69.86,50,yes,87.33,86.85,100,yes,,,,,,PI4KIIIalpha,,nej,,,,,,,,,
Hsc70-4,x,x,x,x,x,46.06,91.55,0,no,91.31,92.01,0,no,90.69,91.24,0,no,95.25,95.39,50,yes,95.39,95.39,50,yes,99.54,99.54,100,yes,99.54,99.54,100,yes,96.47,96.62,100,yes,97.85,97.7,100,yes,97.39,97.54,100,yes,97.08,96.93,50,yes,98.01,98.16,100,yes,97.85,97.85,100,yes,99.39,99.39,100,yes,,,,,,,,Mi-2,,,,,,,,,
Hsp83,x,x,x,x,x,85.44,85.91,0,yes,86.77,47.56,0,yes,85.06,84.94,0,yes,93.85,93.72,50,yes,94.13,94,25,yes,99.58,99.58,100,yes,99.16,99.3,100,yes,96.79,96.79,100,yes,98.6,98.47,100,yes,97.05,96.37,100,yes,95.56,96.09,25,no,98.46,98.33,100,yes,98.05,98.05,100,yes,99.58,99.58,100,yes,,,,,,,,,,,,,,,,,
kni,x,x,x,x,x,,,,,,,,,,,,,34.76,35.48,25,yes,37.03,38.48,0,no ,97.24,97.47,100,yes,97.46,97.23,100,yes,38.64,49.77,100,yes,59.18,60.14,100,yes,42.63,50,100,yes,38.85,40.55,100,yes,42.41,47,75,yes,38.9,45.62,75,yes,82.13,81.57,100,yes,,,,,,,,,,,,,,,,,
l(1)10Bb,,,,,,88.19,88.19,0,no,88.19,88.19,0,no,88.19,88.19,0,no,,,,,97.92,97.92,25,yes,100,100,100,yes,99.31,99.31,100,yes,96.53,96.53,0,no,99.31,99.31,100,yes,97.22,97.22,75,yes,98.61,98.61,75,yes,99.31,99.31,100,no,98.61,98.61,50,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
Hlc,,,,,,49.81,46.79,0,yes,51.64,50.54,0,yes,54.63,53.75,0,yes,67.34,65.54,25,yes,68.68,66.96,25,yes,94.97,94.46,100,yes,95.71,95.71,100,yes,73.84,73.57,50,yes,87.3,88.39,50,yes,71.1,76.43,50,yes,82.88,82.14,0,no,76.95,77.5,50,yes,74.73,75.54,50,yes,80.83,27.86,100,yes,,,,,,,,,,,,,,,,,
dlg1,x,x,x,x,x,43.95,33.88,0,no,44.83,40.87,0,no,41.12,34.37,0,no,27.96,49.13,0,no,4.48,0.97,0,no ,64.68,83.2,100,yes,63.29,81.84,100,yes,76.06,24.37,0,no,50.48,65.73,25,no,52.51,49.71,100,yes,57.35,54.17,50,yes,43.4,56.21,50,yes,37.04,54.66,100,yes,92.86,12.62,50,no,,,,,,,,,,,,,,,,,
l(2)37Cc,,,,,,84.19,82.97,25,yes,84.19,82.97,0,yes,86.03,84.78,0,yes,91.27,90.94,75,yes,89.89,90.22,75,yes,100,100,100,yes,100,100,100,yes,98.19,98.19,100,yes,98.19,98.19,100,yes,98.91,98.91,100,yes,97.1,97.1,100,yes,97.46,97.46,100,yes,96.74,96.74,100,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
l(2)tid,,,,,,,,,,,,,,,,,,,,,,,,,,69.88,67.49,50,yes,70.08,67.68,50,yes,74.41,72.43,100,yes,69.96,67.3,50,yes,75.05,74.33,100,yes,72.89,70.53,100,yes,,,,,69.46,70.91,100,yes,70.08,67.68,100,yes,,,,,,,,,,,,,,,,,
dre4,x,x,x,x,x,71.6,68.98,0,yes,71.51,68.89,0,yes,70.63,67.29,0,yes,76.84,78.07,50,yes,76.59,77.27,50,yes,99.73,99.73,100,yes,98.75,98.75,100,yes,90.67,91,100,yes,92.25,92.25,100,yes,89.38,89.3,50,yes,90.75,90.91,50,yes,90.01,89.93,50,yes,,,,,97.33,97.33,100,yes,,,,,,,,,,,,,,,,,
dco,,x,x,,x,,,,,53.48,64.55,0,yes,63.49,62.05,0,yes,,,,,78.18,78.18,75,yes,95.23,99.77,100,yes,94.41,99.77,100,yes,85.88,85.68,100,yes,93.42,93.64,50,yes,85.65,85.45,100,yes,88.05,87.05,100,yes,79.87,84.77,100,yes,78.59,83.41,100,yes,99.77,99.77,100,yes,,,all but B and E,,,,,,,,,,,,,,
hyd,x,x,x,,x,37.35,47.21,0,no,38.82,47.56,0,no,51.74,13.89,0,no,64.1,65.26,0,no,82.5,5.72,0,no ,96.01,95.88,100,yes,93.71,93.87,100,yes,,,,,83.35,83.24,100,yes,74.49,75.06,0,no,75.76,77.07,0,no,75.29,75.13,0,no,74.53,73.14,100,no,97.73,97.52,100,yes,,,all but E,,,,,,,,,,,,,,
sti,x,x,x,x,x,38.89,39.77,0,yes,39.99,41.07,0,yes,36.46,32.02,0,yes,41.1,58.67,50,yes,55.7,55.76,0,no ,98.22,98.22,100,yes,96.17,96.07,100,yes,79.25,79.12,100,yes,87.37,86.76,100,yes,73.86,73.14,75,yes,71.72,72.07,100,yes,74.77,74,100,yes,73.9,76.41,100,yes,97.73,97.52,100,yes,,,,,,,,,,,,,,,,,
RpS3,x,x,x,x,x,79.84,78.86,0,no,78.28,77.64,0,no,77.2,78.46,0,no,91.29,89.34,25,yes,,,,,99.59,99.59,100,yes,93.9,93.9,100,yes,98.37,98.37,25,no,98.37,98.37,50,yes,96.75,96.75,25,no,97.54,96.75,50,yes,96.75,96.75,0,no,97.97,97.97,25,no,99.59,99.59,100,yes,,,,,,,,,,,,,,,,,
Rcc1,x,x,x,x,x,4,15.54,0,no,4.26,16.27,0,no,,,,,,,,,99.59,99.59,100,yes,98.53,98.17,100,yes,94.17,88.67,100,yes,,,,,,,,,,,,,,,,,,,,,,,,,98.35,97.99,100,yes,,,,,,,,,,,,,,,,,
Rpn8,x,x,x,x,x,83.14,78.49,0,yes,85.21,80.45,0,yes,85.23,77.37,0,yes,89.02,83.8,0,no,89.58,84.08,0,no ,100,94.41,100,yes,98.88,98.88,100,yes,91.55,93.85,100,yes,96.65,96.65,50,yes,92.17,88.83,100,yes,92.69,88.55,75,yes,92.01,93.3,100,yes,93.53,88.83,75,yes,100,94.41,100,yes,,,,,,,,,,,,,,,,,
mr,x,x,x,x,x,43.24,42.64,0,yes,42.91,41.9,0,yes,47.57,46.38,0,yes,57.96,56.73,0,no,56.67,55.61,0,no ,96.76,96.76,100,yes,95.51,95.51,100,yes,82.67,82.67,100,yes,85.68,85.79,100,yes,73.99,73.07,0,no,77.57,78.05,75,yes,73.13,71.95,0,no,74.4,73.57,0,no,97.67,31.42,0,no,,,,,,,,,,,,,,,,,
mus312,x,x,x,,x,,,,,,,,,19.63,9.23,0,no,,,,,21.06,31.16,25,no ,93.65,93.65,100,yes,83.68,83.9,75,yes,55.03,55.7,75,yes,56.49,57.18,75,yes,45.42,46.21,50,yes,43.68,43.6,25,no,44.15,44.3,50,yes,44.74,43.69,50,yes,93.28,92.95,75,yes,,,all but E,,,,,,,,,,,,,,
otu,x,x,x,x,x,21.46,18.99,0,no,26.57,18.41,0,no,,,,,21.82,32.94,50,no,20.42,322.24,50,no ,88.45,88.86,100,yes,77.55,81.01,100,yes,38.78,38.92,75,yes,46.06,39.04,75,yes,35.82,38.34,75,yes,40.22,39.27,75,yes,40.44,42.91,75,yes,38.84,40.8,75,yes,58.9,32.59,100,yes,,,,,,,,,,,,,,,,,
pbl,x,x,x,x,x,,,,,44.64,46.99,25,no,45.13,39.89,25,no,53.95,58.35,50,yes,53.46,57.13,50,yes,91.12,90.77,100,yes,97.25,97.25,100,yes,66.67,70.18,100,yes,81.41,82.15,50,yes,66.72,68.5,100,yes,80.41,38.52,25,no,68.41,68.88,100,yes,69.32,68.42,100,yes,90.59,90.31,100,yes,,,,,,,,,,,,,,,,,
pk,x,,x,x,x,27.88,27.56,25,yes,30.04,25.71,0,yes,35.6,23.4,0,no,41.08,48.58,75,yes,41.62,47.19,50,yes,97.77,98,100,yes,88.91,89.53,100,yes,65.53,54.58,100,yes,73.02,55.43,100,yes,56.87,59.58,100,yes,54.51,59.97,0,no,63.83,49.73,100,yes,62.7,49.42,0,no,97.47,97.69,0,no,,,all but C ,,,,,,,,,,,,,,
polo,x,x,x,x,x,69.16,68.92,0,no,69.04,68.92,0,no,71.28,70.66,0,no,87.15,87.15,25,yes,87.85,87.85,25,yes,98.44,98.44,100,yes,99.13,99.13,100,yes,81.13,79.86,0,no,96.7,96.53,75,yes,92.87,92.71,50,yes,91.83,91.67,0,no,93.57,93.4,75,yes,93.22,93.06,50,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
put,x,x,x,x,x,51.22,52.69,0,yes,54.79,53.85,0,yes,53.42,48.08,0,yes,75.55,66.54,50,yes,68.57,69.23,0,no ,99.22,98.46,75,yes,97.12,97.12,100,yes,84.13,84.62,50,yes,81,81.15,50,yes,78.08,78.08,50,yes,79.45,78.08,50,yes,75.68,75.38,50,yes,79.54,80,50,yes,99.42,98.65,75,yes,,,,,,,,,,,,,,,,,
Rm62,x,x,x,x,x,34.19,46.18,0,yes,35.6,45.06,0,yes,34.33,44.65,0,yes,63.48,66.48,50,yes,75.45,64.12,25,yes,,,,,92.35,92.35,100,yes,74.12,76.08,100,yes,81.25,79.55,100,yes,73.99,76.77,75,yes,72.62,75.24,100,yes,74.49,75.94,25,no,73.89,74.41,75,yes,97.51,98.19,100,yes,,,,,,,,,,,,,,,,,
RpLP2,x,x,x,x,x,67.26,67.26,0,yes,68.75,68.14,0,yes,67.27,65.49,0,yes,65.49,65.49,0,no,75.22,75.22,0,no ,99.11,99.11,100,yes,94.69,94.69,100,yes,80.7,81.42,0,no,79.65,79.65,0,no,86.84,87.61,0,no,87.93,90.27,0,no,86.96,88.5,0,no,,,,,99.11,99.11,100,yes,,,,,,,,,,,,,,,,,
RpII215,x,x,x,x,x,85,84.68,0,no,84.92,84.47,0,no,85.22,84.63,0,no,91.96,92.16,0,no,92.28,92.53,0,no ,99.21,99.21,100,yes,98.41,98.52,100,yes,97.14,97.24,25,no,98.52,98.62,50,yes,97.09,97.19,25,no,97.35,97.51,25,no,96.88,96.88,25,no,97.41,97.51,25,no,99.79,99.79,100,yes,,,,,,,,,,,,,,,,,
RanGAP,x,x,x,x,x,41.37,40.6,0,yes,40.97,41.11,0,yes,40.21,38.93,0,yes,55.2,55.2,75,yes,54.77,54.87,25,yes,85.88,86.75,100,yes,82.23,81.54,100,yes,69.81,68.29,100,yes,69.8,69.8,50,yes,61.56,62.08,50,yes,62.91,61.74,50,yes,62.7,64.6,50,yes,60.47,61.07,50,yes,85.38,86.24,100,yes,,,,,,,,,,,,,,,,,
sgg,x,x,x,x,x,34.07,31.85,0,no,43.62,31.59,0,no,65.01,28,0,no,33.92,37.84,25,yes,42.42,38.78,0,no ,85.88,86.75,100,yes,82.23,81.54,100,yes,69.81,68.29,100,yes,69.8,69.8,50,yes,61.56,62.08,50,yes,62.91,61.74,50,yes,62.7,64.6,50,yes,60.47,61.07,50,yes,85.38,86.24,100,yes,,,,,,,,,,,,,,,,,
stwl,,,,,,,,,,,,,,,,,,,,,,,,,,87.37,87.37,100,yes,76.93,75.89,100,yes,36.31,12.92,0,no,45.52,42.14,100,yes,35.18,15.91,25,no,33.18,34.04,50,yes,34.35,35.68,50,yes,33.24,33.08,50,yes,,,,,,,,,,,,,,,,,,,,,
sqh,x,x,,,x,92.53,92.53,0,no,92.53,92.53,0,no,,,,,,,,,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,100,yes,100,100,100,yes,98.85,98.85,50,yes,99.43,99.43,100,yes,100,100,25,no,98.85,98.85,50,yes,100,100,100,yes,,,all but D and E,,,,,,,,,,,,,,
su(Hw),x,x,x,x,x,11.46,6.27,0,no,13.33,5.53,0,no,,,,,53.7,47.08,25,yes,51.86,47.29,25,yes,97.14,97.34,100,yes,93.17,94.16,100,yes,75.9,71.94,100,yes,76.63,73.86,100,yes,67.74,69.61,100,yes,71.99,68.54,100,yes,71,67.91,100,yes,69.83,68.12,100,yes,75.46,69.29,100,yes,,,,,,,,,,,,,,,,,
Su(var)205,,x,x,x,x,,,,,33.8,34.95,0,no,31.44,29.61,0,no,,,,,56.25,56.8,0,no ,96.12,96.12,100,yes,88.78,88.35,100,yes,67.48,67.48,100,yes,65.71,66.99,50,yes,67,66.02,100,yes,62.93,62.62,100,yes,73.71,76.21,100,yes,65.93,72.33,100,yes,96.6,96.6,100,yes,,,all but B,,,,,,,,,,,,,,
Su(var)2-10,,x,x,x,x,47.77,43.59,0,yes,45.19,46.25,0,yes,51.33,47.34,0,yes,60.98,58.59,75,yes,54.11,59.69,0,no ,85.21,87.34,100,yes,97.34,97.34,100,yes,72.64,74.69,100,yes,80.13,80,100,yes,66.31,67.03,50,yes,77.46,68.75,100,yes,73.02,67.66,50,yes,68.7,68.59,50,yes,86.69,81.41,100,yes,,,all but B ,,,,,,,,,,,,,,
T-cp1,x,x,x,x,x,78.72,78.57,0,no,79.28,79.14,0,no,79.7,79.7,0,no,85.12,84.96,0,no,83.99,83.83,0,no ,94.75,94.92,50,yes,95.12,95.3,50,yes,95.1,94.92,0,no,95.11,95.11,50,yes,96.43,96.43,50,yes,93.81,93.98,0,no,the original ,,,,95.68,95.68,100,yes,93.81,85.53,0,no,,,,,,,,,,,,,,,,,
Top2,x,x,x,x,x,60.49,64.34,0,yes,60.52,63.99,0,yes,67.16,63.03,0,yes,74.17,75.4,0,no,71.79,73.88,0,no ,93.85,93.85,75,yes,91.6,91.22,75,yes,80.42,82.03,75,yes,83.65,84.17,75,yes,76.51,77.68,75,yes,81.49,81.82,75,yes,77.99,77.89,75,yes,78.48,77.61,50,yes,93.78,93.85,75,yes,,,,,,,,,,,,,,,,,
alphaTub84B,x,x,x,,x,99.11,99.11,0,no,99.33,99.33,0,yes,99.33,99.33,0,no,100,100,0,no,100,100,0,no ,100,100,100,yes,original,,,,100,100,50,yes,100,100,100,yes,100,100,100,yes,100,100,25,no,100,100,100,yes,100,100,50,yes,100,100,100,yes,,,all but E,,,,,,,,,,,,,,
alphaTub85E,,,,x,x,90.06,96.88,0,yes,,,,,96.66,96.66,0,yes,96.89,97.1,0,no,,,,,100,100,100,yes,100,100,100,yes,,,,,99.55,99.55,100,yes,97.1,97.1,0,no,97.35,98,0,no,96.88,96.88,25,no,98.22,98.22,0,no,100,100,100,yes,,,only E and F,,,,,,,,,,,,,,
betaTub56D,,,,x,x,99.33,99.33,0,no,99.33,99.33,0,no,96.19,95.97,0,no,99.78,99.78,0,no,99.78,99.78,0,no ,100,100,50,yes,original,,,,100,100,50,yes,100,100,50,yes,100,100,25,no,100,100,100,yes,100,100,25,no,100,100,25,no,100,100,100,yes,,,only E and F,,,,,,,,,,,,,,
RpS27A,x,x,x,,x,94.23,94.23,0,yes,95.51,95.51,0,yes,95.51,95.51,25,yes,,,,,98.72,98.72,25,yes,100,100,100,yes,100,100,25,no,100,100,25,no,100,100,100,yes,100,100,50,yes,100,100,25,no,100,100,25,no,99.36,99.36,25,no,100,100,100,yes,,,all but E,,,,,,,,,,,,,,
Prosalpha4,x,x,x,x,x,78.31,78.31,0,no,75.1,75.1,0,no,81.53,81.53,0,yes,85.48,85.14,25,yes,85.48,85.14,25,yes,98.79,98.39,100,yes,95.58,95.58,100,yes,89.96,89.96,0,no,91.16,91.16,50,yes,92.77,92.77,100,yes,91.97,91.97,50,yes,92.77,92.77,75,yes,92.37,92.37,100,yes,,,,,,,,,,,,,,,,,,,,,
Pp1-87B,x,x,x,x,x,,,,,,,,,,,,,97.35,97.35,100,yes,97.02,97.02,0,no ,100,100,100,yes,100,100,100,yes,,,,,89.52,99.01,100,yes,98.01,98.01,100,yes,99.01,99.01,100,yes,98.01,98.01,100,yes,98.01,98.01,100,yes,100,100,100,yes,,,,,,,,,,,,,,,,,
cdc2,,,,,,73.49,68.65,n/a,yes,73.15,68.34,n/a,yes,76.17,71.16,n/a,yes,71.56,71.79,n/a,yes,75.84,70.85,n/a,yes,74.75,69.59,n/a,yes,74.75,69.59,n/a,yes,81.65,55.8,n/a,yes,75.42,70.22,n/a,yes,74.16,69.28,n/a,yes,,,,,75.17,70.22,n/a,yes,74.07,68.97,n/a,yes,,,,,,,,,,,,,,,,,,,,,
cdc2c,,,,x,x,55.16,59.55,0,no,61.49,60.51,0,no,68.58,64.65,0,no,76.74,73.57,50,yes,76.74,73.57,25,yes,98.73,98.73,100,yes,original,,,,90.45,90.45,100,yes,90.76,90.76,100,yes,87.9,87.9,75,yes,92.99,92.99,75,yes,,,,,87.58,87.58,100,yes,99.04,99.04,75,yes,,,only E and F,,,,,,,,,,,,,,
Klp61F,,,,x,x,40.94,40.06,0,no,40,41.28,0,no,41.05,40.24,0,no,53.33,52.53,50,yes,51.54,51.69,0,no ,97.19,97.19,100,yes,92.68,92.68,100,yes,74.51,74.3,75,yes,81.6,81.52,50,yes,61.22,61.91,75,yes,60.29,59.38,100,yes,63.07,63.13,75,yes,63.33,63.51,100,yes,97.09,97.09,100,yes,,,only E and F,,,,,,,,,,,,,,
shtd,x,x,x,x,x,30.78,31.72,0,no,33.88,34.68,0,no,41.15,40.2,0,yes,55.19,53.45,50,yes,55.29,53.55,50,yes,96.66,96.8,75,yes,89.45,89.36,100,yes,74,73.74,50,yes,82.41,82.41,50,yes,70.81,72.76,50,yes,69.09,70.34,50,yes,75.22,74.63,50,yes,74.29,73.89,50,yes,96.11,94.93,100,yes,,,,,,,,,,,,,,,,,
Pep,x,x,x,x,x,32.78,33.1,0,yes,35.22,29.61,0,yes,40.26,30.87,0,yes,68.51,46.79,0,no,,,,,98.6,98.6,100,yes,89.74,86.73,100,yes,76.29,78.63,75,yes,73.91,93.6,100,yes,74.37,73.74,100,yes,70.1,75,50,yes,76.07,76.82,75,yes,73.68,76.26,100,yes,,,,,,,,,,,,,,,,,,,,,
me31B,x,x,x,x,x,86.14,82.57,0,yes,86.14,82.57,0,yes,81.92,76.03,0,yes,91.09,91.29,0,no,91.21,90.41,0,no ,99.78,99.78,100,yes,99.78,99.78,100,yes,,,,,94.78,94.99,100,yes,97.07,86.71,0,no,98.6,91.94,0,no,96.08,96.08,0,no,95.42,95.42,0,no,99.78,99.78,100,yes,,,,,,,,,,,,,,,,,
